Travel ID,User ID,Travel/Stop,Trip Index,Start Time,End Time,Duration (Seconds),Start Lat,Start Lon,End Lat,End Lon,Final Mode,Predicted Mode,Main Activity,Validated?
7807928-7810620,643,Travel,1,2016-02-16 18:33:34 UTC,2016-02-17 03:12:49 UTC,31155.0,1.3416755760407546,103.96382671367019,1.3399256491640812,103.96103802719276,Default,,,false
7810620,643,Stop,,2016-02-17 03:12:49 UTC,2016-02-17 05:26:53 UTC,8044,,,1.339925649,103.961038,Default,,--,FALSE
7810620-7812394,643,Travel,2,2016-02-17 05:26:53 UTC,2016-02-17 09:52:36 UTC,15943.0,1.3399256491640812,103.96103802719276,1.3348449990986613,103.96227189748953,Default,,,false
7812394,643,Stop,,2016-02-17 09:52:36 UTC,2016-02-17 11:05:36 UTC,4380,,,1.334844999,103.9622719,Default,,--,FALSE
7812394-7812813,643,Travel,3,2016-02-17 11:05:36 UTC,2016-02-17 11:17:40 UTC,724.0,1.3348449990986613,103.96227189748953,1.3417189051113367,103.9639723214037,Foot,,,false
7812813,643,Stop,,2016-02-17 11:17:40 UTC,2016-02-17 14:01:11 UTC,9811,,,1.341718905,103.9639723,Foot,,--,FALSE
7821279-7825011,643,Travel,4,2016-02-18 12:10:36 UTC,2016-02-18 13:23:20 UTC,4364.0,1.3417265165785144,103.96406943907945,1.3416950999903325,103.96395037486081,Default,,,false
7825011,643,Stop,,2016-02-18 13:23:20 UTC,2016-02-19 00:53:52 UTC,41432,,,1.3416951,103.9639504,Default,,--,FALSE
7825011-7828130,643,Travel,5,2016-02-19 00:53:52 UTC,2016-02-19 01:00:04 UTC,372.0,1.3416950999903325,103.96395037486081,1.3403120917015436,103.96203637041762,Foot,,,false
7828130,643,Stop,,2016-02-19 01:00:04 UTC,2016-02-19 02:43:22 UTC,6198,,,1.340312092,103.9620364,Foot,,--,FALSE
7828130-7828134,643,Travel,6,2016-02-19 02:43:22 UTC,2016-02-19 02:44:42 UTC,80.0,1.3403120917015436,103.96203637041762,1.3414112871228905,103.96339639981021,Foot,,,false
7828134,643,Stop,,2016-02-19 02:44:42 UTC,2016-02-19 03:30:33 UTC,2751,,,1.341411287,103.9633964,Foot,,--,FALSE
7828134-7828216,643,Travel,7,2016-02-19 03:30:33 UTC,2016-02-19 03:34:41 UTC,248.0,1.3414112871228905,103.96339639981021,1.3398533207667902,103.96098642830708,Foot,,,false
7828216,643,Stop,,2016-02-19 03:34:41 UTC,2016-02-19 03:35:56 UTC,75,,,1.339853321,103.9609864,Foot,,--,FALSE
7828216-7828217,643,Travel,8,2016-02-19 03:35:56 UTC,2016-02-19 03:36:45 UTC,49.0,1.3398533207667902,103.96098642830708,1.340720401634829,103.96246236654912,Foot,,,false
7828217,643,Stop,,2016-02-19 03:36:45 UTC,2016-02-19 06:54:48 UTC,11883,,,1.340720402,103.9624624,Foot,,--,FALSE
7828217-7829683,643,Travel,9,2016-02-19 06:54:48 UTC,2016-02-19 09:16:10 UTC,8482.0,1.340720401634829,103.96246236654912,1.3401032245801394,103.9601385115376,Default,,,false
7829683,643,Stop,,2016-02-19 09:16:10 UTC,2016-02-19 09:27:09 UTC,659,,,1.340103225,103.9601385,Default,,--,FALSE
7829683-7829685,643,Travel,10,2016-02-19 09:27:09 UTC,2016-02-19 09:33:01 UTC,352.0,1.3401032245801394,103.9601385115376,1.3424601178130933,103.9536892175222,Default,,,false
7829685,643,Stop,,2016-02-19 09:33:01 UTC,2016-02-19 09:36:28 UTC,207,,,1.342460118,103.9536892,Default,,Change Mode/Transfer,FALSE
7829685-7829686,643,Travel,10,2016-02-19 09:36:28 UTC,2016-02-19 09:42:19 UTC,351.0,1.3424601178130933,103.9536892175222,1.353448427364071,103.945366941938,Car/Van,,,false
7829686,643,Stop,,2016-02-19 09:42:19 UTC,2016-02-19 13:55:32 UTC,15193,,,1.353448427,103.9453669,Car/Van,,--,FALSE
7829686-7834316,643,Travel,11,2016-02-19 13:55:32 UTC,2016-02-19 14:02:49 UTC,437.0,1.353448427364071,103.945366941938,1.3274361437309694,103.94676504274753,LRT/MRT,,,false
7834316,643,Stop,,2016-02-19 14:02:49 UTC,2016-02-19 14:09:19 UTC,390,,,1.327436144,103.946765,LRT/MRT,,Change Mode/Transfer,FALSE
7834316-7834319,643,Travel,11,2016-02-19 14:09:19 UTC,2016-02-19 14:18:57 UTC,578.0,1.3274361437309694,103.94676504274753,1.3392953907515222,103.96161004861167,Car/Van,,,false
7834319,643,Stop,,2016-02-19 14:18:57 UTC,2016-02-19 14:23:05 UTC,248,,,1.339295391,103.96161,Car/Van,,Change Mode/Transfer,FALSE
7834319-7834321,643,Travel,11,2016-02-19 14:23:05 UTC,2016-02-19 14:29:16 UTC,371.0,1.3392953907515222,103.96161004861167,1.3415426662804015,103.96361821903702,Foot,,,false
7834321,643,Stop,,2016-02-19 14:29:16 UTC,2016-02-20 04:59:51 UTC,52235,,,1.341542666,103.9636182,Foot,,--,FALSE
7834321-7835041,643,Travel,12,2016-02-20 04:59:51 UTC,2016-02-20 05:23:57 UTC,1446.0,1.3415426662804015,103.96361821903702,1.3425055206627587,103.95335442264424,Foot,,,false
7835041,643,Stop,,2016-02-20 05:23:57 UTC,2016-02-20 06:58:15 UTC,5658,,,1.342505521,103.9533544,Foot,,--,FALSE
7835041-7837763,643,Travel,13,2016-02-20 06:58:15 UTC,2016-02-20 07:07:20 UTC,545.0,1.3425055206627587,103.95335442264424,1.34464553256164,103.9574932680876,Foot,,,false
7837763,643,Stop,,2016-02-20 07:07:20 UTC,2016-02-20 07:12:01 UTC,281,,,1.344645533,103.9574933,Foot,,--,FALSE
7837763-7837766,643,Travel,14,2016-02-20 07:12:01 UTC,2016-02-20 07:21:40 UTC,579.0,1.34464553256164,103.9574932680876,1.340853363866168,103.9607785034696,Foot,,,false
7837766,643,Stop,,2016-02-20 07:21:40 UTC,2016-02-20 07:26:30 UTC,290,,,1.340853364,103.9607785,Foot,,Change Mode/Transfer,FALSE
7837766-7837768,643,Travel,14,2016-02-20 07:26:30 UTC,2016-02-20 07:33:23 UTC,413.0,1.340853363866168,103.9607785034696,1.3415411149175807,103.96462843302827,Car/Van,,,false
7837768,643,Stop,,2016-02-20 07:33:23 UTC,2016-02-20 12:59:39 UTC,19576,,,1.341541115,103.9646284,Car/Van,,--,FALSE
7837768-7850544,643,Travel,15,2016-02-20 12:59:39 UTC,2016-02-20 13:23:04 UTC,1405.0,1.3415411149175807,103.96462843302827,1.3414949321412475,103.96379923320367,Foot,,,false
7850544,643,Stop,,2016-02-20 13:23:04 UTC,2016-02-21 21:25:29 UTC,115345,,,1.341494932,103.9637992,Foot,,--,FALSE
7850544-7856715,643,Travel,16,2016-02-21 21:25:29 UTC,2016-02-22 10:27:46 UTC,46937.0,1.3414949321412475,103.96379923320367,1.3363000834717265,103.9635262471709,Default,,,false
7856715,643,Stop,,2016-02-22 10:27:46 UTC,2016-02-22 10:49:26 UTC,1300,,,1.336300083,103.9635262,Default,,--,FALSE
7856715-7861183,643,Travel,17,2016-02-22 10:49:26 UTC,2016-02-22 10:52:11 UTC,165.0,1.3363000834717265,103.9635262471709,1.338824933863875,103.96447081416423,Foot,,,false
7861183,643,Stop,,2016-02-22 10:52:11 UTC,2016-02-22 10:55:38 UTC,207,,,1.338824934,103.9644708,Foot,,--,FALSE
7861183-7861185,643,Travel,18,2016-02-22 10:55:38 UTC,2016-02-22 10:57:00 UTC,82.0,1.338824933863875,103.96447081416423,1.3416671309436197,103.96403645299328,Foot,,,false
7861185,643,Stop,,2016-02-22 10:57:00 UTC,2016-02-23 03:05:06 UTC,58086,,,1.341667131,103.9640365,Foot,,--,FALSE
7861185-7862802,643,Travel,19,2016-02-23 03:05:06 UTC,2016-02-23 03:07:12 UTC,126.0,1.3416671309436197,103.96403645299328,1.3405654265050309,103.96302157335572,Foot,,,false
7862802,643,Stop,,2016-02-23 03:07:12 UTC,2016-02-23 05:28:27 UTC,8475,,,1.340565427,103.9630216,Foot,,--,FALSE
7862802-7862841,643,Travel,20,2016-02-23 05:28:27 UTC,2016-02-23 05:33:16 UTC,289.0,1.3405654265050309,103.96302157335572,1.3398007888331376,103.96109807339242,Foot,,,false
7862841,643,Stop,,2016-02-23 05:33:16 UTC,2016-02-23 09:15:47 UTC,13351,,,1.339800789,103.9610981,Foot,,--,FALSE
7862841-7863863,643,Travel,21,2016-02-23 09:15:47 UTC,2016-02-23 09:21:58 UTC,371.0,1.3398007888331376,103.96109807339242,1.3417491583126273,103.96398848625464,Default,,,false
7863863,643,Stop,,2016-02-23 09:21:58 UTC,2016-02-23 11:35:09 UTC,7991,,,1.341749158,103.9639885,Default,,--,FALSE
7863863-7866223,643,Travel,22,2016-02-23 11:35:09 UTC,2016-02-23 11:42:02 UTC,413.0,1.3417491583126273,103.96398848625464,1.3396154660395454,103.96106660073252,Foot,,,false
7866223,643,Stop,,2016-02-23 11:42:02 UTC,2016-02-23 11:52:22 UTC,620,,,1.339615466,103.9610666,Foot,,--,FALSE
7866223-7866226,643,Travel,23,2016-02-23 11:52:22 UTC,2016-02-23 12:03:35 UTC,673.0,1.3396154660395454,103.96106660073252,1.3273299430900662,103.94573611386205,Car/Van,,,false
7866226,643,Stop,,2016-02-23 12:03:35 UTC,2016-02-23 12:04:44 UTC,69,,,1.327329943,103.9457361,Car/Van,,Change Mode/Transfer,FALSE
7866226-7866227,643,Travel,23,2016-02-23 12:04:44 UTC,2016-02-23 12:13:01 UTC,497.0,1.3273299430900662,103.94573611386205,1.3242940439139055,103.93008504858878,LRT/MRT,,,false
7866227,643,Stop,,2016-02-23 12:13:01 UTC,2016-02-23 12:27:27 UTC,866,,,1.324294044,103.930085,LRT/MRT,,--,FALSE
7866227-7866231,643,Travel,24,2016-02-23 12:27:27 UTC,2016-02-23 12:31:09 UTC,222.0,1.3242940439139055,103.93008504858878,1.3244163700358458,103.9330418436567,Foot,,,false
7866231,643,Stop,,2016-02-23 12:31:09 UTC,2016-02-23 12:34:00 UTC,171,,,1.32441637,103.9330418,Foot,,Change Mode/Transfer,FALSE
7866231-7866236,643,Travel,24,2016-02-23 12:34:00 UTC,2016-02-23 12:47:46 UTC,826.0,1.3244163700358458,103.9330418436567,1.3315688444659912,103.95381616708663,Bus,,,false
7866236,643,Stop,,2016-02-23 12:47:46 UTC,2016-02-23 12:49:08 UTC,82,,,1.331568844,103.9538162,Bus,,Change Mode/Transfer,FALSE
7866236-7866237,643,Travel,24,2016-02-23 12:49:08 UTC,2016-02-23 12:51:53 UTC,165.0,1.3315688444659912,103.95381616708663,1.34029808580495,103.96109219564903,Default,,,false
7866237,643,Stop,,2016-02-23 12:51:53 UTC,2016-02-23 12:55:21 UTC,208,,,1.340298086,103.9610922,Default,,Change Mode/Transfer,FALSE
7866237-7866239,643,Travel,24,2016-02-23 12:55:21 UTC,2016-02-23 12:59:27 UTC,246.0,1.34029808580495,103.96109219564903,1.3417517064788345,103.9639194935686,Foot,,,false
7866239,643,Stop,,2016-02-23 12:59:27 UTC,2016-02-23 19:43:35 UTC,24248,,,1.341751706,103.9639195,Foot,,Home,TRUE
7866239-7892674,643,Travel,25,2016-02-23 19:43:35 UTC,2016-02-24 11:02:56 UTC,55161.0,1.3417517064788345,103.9639194935686,1.3346806273018095,103.96236609925064,Default,,,false
7892674,643,Stop,,2016-02-24 11:02:56 UTC,2016-02-24 11:10:31 UTC,455,,,1.334680627,103.9623661,Default,,Change Mode/Transfer,FALSE
7892674-7892676,643,Travel,25,2016-02-24 11:10:31 UTC,2016-02-24 11:16:43 UTC,372.0,1.3346806273018095,103.96236609925064,1.3381585191479346,103.96420413397517,Foot,,,false
7892676,643,Stop,,2016-02-24 11:16:43 UTC,2016-02-24 11:18:05 UTC,82,,,1.338158519,103.9642041,Foot,,Change Mode/Transfer,FALSE
7892676-7892677,643,Travel,25,2016-02-24 11:18:05 UTC,2016-02-24 11:51:11 UTC,1986.0,1.3381585191479346,103.96420413397517,1.341484547761322,103.96371311712576,Default,,,false
7892677,643,Stop,,2016-02-24 11:51:11 UTC,2016-02-25 18:21:50 UTC,109839,,,1.341484548,103.9637131,Default,,--,FALSE
7892677-7892790,643,Travel,26,2016-02-25 18:21:50 UTC,2016-02-26 02:19:13 UTC,28643.0,1.341484547761322,103.96371311712576,1.3402837927172429,103.96182364599917,Default,,,false
7892790,643,Stop,,2016-02-26 02:19:13 UTC,2016-02-26 02:24:35 UTC,322,,,1.340283793,103.9618236,Default,,--,FALSE
7892790-7892791,643,Travel,27,2016-02-26 02:24:35 UTC,2016-02-26 03:03:27 UTC,2332.0,1.3402837927172429,103.96182364599917,1.3416685001175612,103.9634354116136,Default,,,false
7892791,643,Stop,,2016-02-26 03:03:27 UTC,2016-02-26 03:30:06 UTC,1599,,,1.3416685,103.9634354,Default,,Meal/Eating Break,TRUE
7892791-7892834,643,Travel,28,2016-02-26 03:30:06 UTC,2016-02-26 03:38:22 UTC,496.0,1.3416685001175612,103.9634354116136,1.3406021749158925,103.96248219320006,Foot,,,true
7892834,643,Stop,,2016-02-26 03:38:22 UTC,2016-02-26 05:29:16 UTC,6654,,,1.340602175,103.9624822,Foot,,Education,TRUE
7892834-7896046,643,Travel,29,2016-02-26 05:29:16 UTC,2016-02-26 05:33:27 UTC,251.0,1.3406021749158925,103.96248219320006,1.3417213694004104,103.96377665820532,Foot,,,true
7896046,643,Stop,,2016-02-26 05:33:27 UTC,2016-02-26 12:02:04 UTC,23317,,,1.341721369,103.9637767,Foot,,Home,TRUE
7896046-7896065,643,Travel,30,2016-02-26 12:02:04 UTC,2016-02-26 12:08:16 UTC,372.0,1.3417213694004104,103.96377665820532,1.3395476185880426,103.96098352166459,Foot,,,true
7896065,643,Stop,,2016-02-26 12:08:16 UTC,2016-02-26 12:25:05 UTC,1009,,,1.339547619,103.9609835,Foot,,Change Mode/Transfer,TRUE
7896065-7896141,643,Travel,30,2016-02-26 12:25:05 UTC,2016-02-26 12:45:26 UTC,1221.0,1.3395476185880426,103.96098352166459,1.3242055738247789,103.92987296109831,Bus,,,true
7896141,643,Stop,,2016-02-26 12:45:26 UTC,2016-02-26 13:40:30 UTC,3304,,,1.324205574,103.929873,Bus,,Meal/Eating Break,TRUE
7896141-7902643,643,Travel,31,2016-02-26 13:40:30 UTC,2016-02-26 13:53:15 UTC,765.0,1.3242055738247789,103.92987296109831,1.3404338139910603,103.96107907503253,Bus,,,true
7902643,643,Stop,,2016-02-26 13:53:15 UTC,2016-02-26 13:58:46 UTC,331,,,1.340433814,103.9610791,Bus,,Change Mode/Transfer,TRUE
7902643-7902646,643,Travel,31,2016-02-26 13:58:46 UTC,2016-02-26 14:07:59 UTC,553.0,1.3404338139910603,103.96107907503253,1.3416113293961471,103.96399514909132,Foot,,,true
7902646,643,Stop,,2016-02-26 14:07:59 UTC,2016-02-27 02:23:19 UTC,44120,,,1.341611329,103.9639951,Foot,,Home,TRUE
7902646-7907772,643,Travel,32,2016-02-27 02:23:19 UTC,2016-02-27 02:58:59 UTC,2140.0,1.3416113293961471,103.96399514909132,1.3414907613139304,103.96426417051595,Default,,,false
7907772,643,Stop,,2016-02-27 02:58:59 UTC,2016-02-27 10:10:10 UTC,25871,,,1.341490761,103.9642642,Default,,Home,FALSE
7907772-7907801,643,Travel,33,2016-02-27 10:10:10 UTC,2016-02-27 10:46:46 UTC,2196.0,1.3414907613139304,103.96426417051595,1.3343156658614919,103.96276733669781,Foot,,,true
7907801,643,Stop,,2016-02-27 10:46:46 UTC,2016-02-27 11:19:09 UTC,1943,,,1.334315666,103.9627673,Foot,,Meal/Eating Break,TRUE
7907801-7907821,643,Travel,34,2016-02-27 11:19:09 UTC,2016-02-27 11:40:30 UTC,1281.0,1.3343156658614919,103.96276733669781,1.3385778785780196,103.97104627559871,Foot,,,true
7907821,643,Stop,,2016-02-27 11:40:30 UTC,2016-02-27 11:43:57 UTC,207,,,1.338577879,103.9710463,Foot,,Social,TRUE
7907821-7907823,643,Travel,35,2016-02-27 11:43:57 UTC,2016-02-27 11:44:39 UTC,42.0,1.3385778785780196,103.97104627559871,1.3400541097412157,103.97174343695151,Foot,,,true
7907823,643,Stop,,2016-02-27 11:44:39 UTC,2016-02-27 11:48:46 UTC,247,,,1.34005411,103.9717434,Foot,,Social,TRUE
7907823-7907829,643,Travel,36,2016-02-27 11:48:46 UTC,2016-02-27 12:16:20 UTC,1654.0,1.3400541097412157,103.97174343695151,1.3416174295082746,103.96424850803191,Foot,,,true
7907829,643,Stop,,2016-02-27 12:16:20 UTC,2016-02-28 09:19:30 UTC,75790,,,1.34161743,103.9642485,Foot,,--,FALSE
7907829-7916463,643,Travel,37,2016-02-28 09:19:30 UTC,2016-02-28 09:31:13 UTC,703.0,1.3416174295082746,103.96424850803191,1.35364836714395,103.94570687434276,Car/Van,,,true
7916463,643,Stop,,2016-02-28 09:31:13 UTC,2016-02-28 11:52:42 UTC,8489,,,1.353648367,103.9457069,Car/Van,,Meal/Eating Break,TRUE
7916463-7935353,643,Travel,38,2016-02-28 11:52:42 UTC,2016-02-28 12:00:44 UTC,482.0,1.35364836714395,103.94570687434276,1.3386209490992778,103.96013632446726,Car/Van,,,true
7935353,643,Stop,,2016-02-28 12:00:44 UTC,2016-02-28 12:02:20 UTC,96,,,1.338620949,103.9601363,Car/Van,,Change Mode/Transfer,TRUE
7935353-7935354,643,Travel,38,2016-02-28 12:02:20 UTC,2016-02-28 12:05:47 UTC,207.0,1.3386209490992778,103.96013632446726,1.3411477186073066,103.96347741236715,Foot,,,true
7935354,643,Stop,,2016-02-28 12:05:47 UTC,2016-03-01 05:46:37 UTC,150050,,,1.341147719,103.9634774,Foot,,--,FALSE
7935354-7937262,643,Travel,39,2016-03-01 05:46:37 UTC,2016-03-01 05:48:00 UTC,83.0,1.3411477186073066,103.96347741236715,1.3400357223303458,103.96144956866797,Foot,,,true
7937262,643,Stop,,2016-03-01 05:48:00 UTC,2016-03-01 07:52:42 UTC,7482,,,1.340035722,103.9614496,Foot,,Education,TRUE
7937262-7948705,643,Travel,40,2016-03-01 07:52:42 UTC,2016-03-01 07:55:38 UTC,176.0,1.3400357223303458,103.96144956866797,1.3412109287121878,103.96341238386533,Foot,,,true
7948705,643,Stop,,2016-03-01 07:55:38 UTC,2016-03-01 09:30:00 UTC,5662,,,1.341210929,103.9634124,Foot,,Home,TRUE
7948705-7948838,643,Travel,41,2016-03-01 09:30:00 UTC,2016-03-01 10:09:00 UTC,2340.0,1.3412109287121878,103.96341238386533,1.3344858534036628,103.96260768433612,Foot,,,true
7948838,643,Stop,,2016-03-01 10:09:00 UTC,2016-03-01 11:30:47 UTC,4907,,,1.334485853,103.9626077,Foot,,Meal/Eating Break,TRUE
7948838-7948842,643,Travel,42,2016-03-01 11:30:47 UTC,2016-03-01 11:39:51 UTC,544.0,1.3344858534036628,103.96260768433612,1.339306765286977,103.96476868043482,Foot,,,true
7948842,643,Stop,,2016-03-01 11:39:51 UTC,2016-03-01 11:41:48 UTC,117,,,1.339306765,103.9647687,Foot,,Change Mode/Transfer,TRUE
7948842-7948843,643,Travel,42,2016-03-01 11:41:48 UTC,2016-03-01 11:42:29 UTC,41.0,1.339306765286977,103.96476868043482,1.3413601300486446,103.96418300515207,Foot,,,true
7948843,643,Stop,,2016-03-01 11:42:29 UTC,2016-03-01 14:43:13 UTC,10844,,,1.34136013,103.964183,Foot,,Home,TRUE
7948926-7948928,643,Travel,43,2016-03-02 11:21:01 UTC,2016-03-02 11:27:13 UTC,372.0,1.3247391750779207,103.93529043337914,1.3266667891614383,103.93351982269873,Foot,,,true
7948928,643,Stop,,2016-03-02 11:27:13 UTC,2016-03-02 11:58:54 UTC,1901,,,1.326666789,103.9335198,Foot,,Meal/Eating Break,TRUE
7948928-7948930,643,Travel,44,2016-03-02 11:58:54 UTC,2016-03-02 12:05:47 UTC,413.0,1.3266667891614383,103.93351982269873,1.3242288657352947,103.9297203893203,Foot,,,true
7948930,643,Stop,,2016-03-02 12:05:47 UTC,2016-03-02 12:53:38 UTC,2871,,,1.324228866,103.9297204,Foot,,Meal/Eating Break,TRUE
7948930-7959814,643,Travel,45,2016-03-02 12:53:38 UTC,2016-03-02 13:08:47 UTC,909.0,1.3242288657352947,103.9297203893203,1.3365912752205598,103.95954331980624,Bus,Car/Van,,true
7959814,643,Stop,,2016-03-02 13:08:47 UTC,2016-03-02 13:10:09 UTC,82,,,1.336591275,103.9595433,Bus,Car/Van,Change Mode/Transfer,TRUE
7961986-7962050,643,Travel,45,2016-03-04 02:50:08 UTC,2016-03-04 02:52:12 UTC,124.0,1.3398148498996636,103.96107315671944,1.340507701903281,103.96278708508902,Foot,,,true
7962050,643,Stop,,2016-03-04 02:52:12 UTC,2016-03-04 06:52:43 UTC,14431,,,1.340507702,103.9627871,Foot,,Education,TRUE
7962050-7962188,643,Travel,46,2016-03-04 06:52:43 UTC,2016-03-04 07:37:19 UTC,2676.0,1.340507701903281,103.96278708508902,1.3417100793618206,103.96391517627788,Default,,,false
7962188,643,Stop,,2016-03-04 07:37:19 UTC,2016-03-04 08:59:06 UTC,4907,,,1.341710079,103.9639152,Default,,Home,TRUE
7962188-7964277,643,Travel,47,2016-03-04 08:59:06 UTC,2016-03-04 09:15:37 UTC,991.0,1.3417100793618206,103.96391517627788,1.3351202834879496,103.96168917408279,Foot,,,true
7964277,643,Stop,,2016-03-04 09:15:37 UTC,2016-03-04 09:20:07 UTC,270,,,1.335120283,103.9616892,Foot,,--,TRUE
7964277-7964279,643,Travel,48,2016-03-04 09:20:07 UTC,2016-03-04 09:32:10 UTC,723.0,1.3351202834879496,103.96168917408279,1.3241273247291154,103.9299725799801,LRT/MRT,Default,,true
7964279,643,Stop,,2016-03-04 09:32:10 UTC,2016-03-04 09:36:18 UTC,248,,,1.324127325,103.9299726,LRT/MRT,Default,Change Mode/Transfer,TRUE
7964279-7964280,643,Travel,48,2016-03-04 09:36:18 UTC,2016-03-04 09:53:00 UTC,1002.0,1.3241273247291154,103.9299725799801,1.3261576857161161,103.94310996672606,Foot,Default,,true
7964280,643,Stop,,2016-03-04 09:53:00 UTC,2016-03-04 11:01:36 UTC,4116,,,1.326157686,103.94311,Foot,Default,Meal/Eating Break,TRUE
7964280-7964282,643,Travel,49,2016-03-04 11:01:36 UTC,2016-03-04 11:09:52 UTC,496.0,1.3261576857161161,103.94310996672606,1.3416557745881597,103.96476665523578,Car/Van,,,true
7964282,643,Stop,,2016-03-04 11:09:52 UTC,2016-03-04 13:07:16 UTC,7044,,,1.341655775,103.9647667,Car/Van,,Home,TRUE
7969326-7974517,643,Travel,50,2016-03-05 03:32:55 UTC,2016-03-05 03:34:59 UTC,124.0,1.3407399862251885,103.96313179863739,1.341803260925034,103.96435482175303,Foot,,,true
